,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-04-05,-0.05370316809477054,0.25506296526419214,-0.06635874658242803,0.15946148805217744,-0.04675186588916548,0.32185914653261816
2017-04-06,-0.028698214674113334,0.5428106187706998,-0.0926218752594225,0.04907408053456218,-0.06896490783049489,0.14322196672828677
2017-04-07,-0.11488849103116315,0.014529591106864737,-0.13567098654173176,0.0038549903346240606,-0.08487071396811681,0.07144581629408243
2017-04-10,-0.07112601056656374,0.1319330858107557,-0.10999835619518458,0.01959498520043023,-0.06813616724751885,0.14900816002248102
2017-04-11,-0.07412411463311439,0.11555633331942873,-0.12190136453489304,0.00948214096377874,-0.0487647086419998,0.3009040205847089
2017-04-12,-0.10453670872528917,0.0260886397224971,-0.0925026901797516,0.049115321524509384,-0.03630679720310297,0.4407865671278428
2017-04-13,-0.13931624758442843,0.003027946191266164,-0.03172522794154958,0.5015579057693231,-0.028712341296585443,0.5430612372109667
2017-04-18,-0.044167704901503,0.34882266025104847,-0.00882668826048665,0.8515493103257464,0.008700915059955712,0.8536406331641773
2017-04-19,-0.0636638668086364,0.1766520554814057,-0.03442452893111699,0.46535023576944434,-0.014247200123633882,0.7625939527383891
2017-04-20,-0.05510240939754401,0.24234810800447487,-0.043183010405580056,0.3596833959186745,0.008046163381813099,0.8645439095305298
2017-04-21,-0.04729720076253057,0.3162408208970259,-0.06032225230408109,0.20101725035521106,-0.007817578497836335,0.8685017794673876
2017-04-24,0.01980785598082809,0.6748299496152742,-0.007769330111524902,0.8693060617456292,0.00964445581799472,0.8381555228721234
2017-04-25,0.023210585029564215,0.6233786542666317,0.025453732208714074,0.5902038387386129,0.012166591017382399,0.7968823098520067
2017-04-26,-0.0027015996928344927,0.9544254754191044,0.04793100406999394,0.31033214008143784,0.029312202652267538,0.5351198363281187
2017-04-27,-0.02205913775487385,0.6410877270795332,0.036797853617751605,0.4366736811850971,0.03369596587543498,0.4763306149397116
2017-04-28,-0.007761152121131243,0.8698758736499226,0.018859008498927427,0.6905637052647797,0.07866443228583744,0.0963247896095345
2017-05-02,-0.00872877995183653,0.8536624380003612,0.02811403600506062,0.5523899934683143,0.07372989001800324,0.11874161130192144
2017-05-04,0.07396370835593334,0.11675526951601757,0.038602121957774196,0.4134634941235459,0.08277943453594556,0.07907075767020769
2017-05-05,0.06563294036271063,0.16455575510643936,0.0025706521094288177,0.9566322656599582,0.06100863469154152,0.19642898965730052
