,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-04-05,-0.08057481756810246,0.36025941934924366,-0.05358708641412086,0.5432597763229827,-0.08173320735293604,0.35337256782531246
2017-04-06,-0.07410372468056636,0.38249867712215635,-0.10175499828720068,0.22989196660365188,-0.04881687677957166,0.5653919330587692
2017-04-07,-0.09012258148683032,0.3022433460973319,-0.17553382153622835,0.04328330186621314,-0.07034215925950066,0.4210706517979663
2017-04-10,-0.029343389066008457,0.7374121015677384,-0.13718761437307037,0.11533839018880199,-0.09740782256848618,0.26467357198705566
2017-04-11,-0.08133707322123948,0.3575968617444908,-0.14848104965027134,0.09180494576921014,-0.10107799411856055,0.25251210059596174
2017-04-12,0.011203824076966266,0.8985432240103517,-0.14157971424841032,0.1053776232824406,-0.06087596268319045,0.48805680859851397
2017-04-13,-0.06893610475480844,0.4286761091821728,-0.10356591544448626,0.23371811422212946,-0.07497637115953135,0.3892403627353248
2017-04-18,-0.050944898663862564,0.5529074958493202,-0.04212244711576879,0.6237492780209255,-0.08840216718853225,0.30251057375372775
2017-04-19,-0.013398317303500941,0.873809507541236,-6.155904435856178e-05,0.9994178010341201,-0.03824418991212938,0.6501987379803174
2017-04-20,-0.06224190540578456,0.45704201736328354,-0.01738322613152363,0.8355992891635148,0.026303151497020134,0.7534869410547895
2017-04-21,-0.09559459798851556,0.2647115797029717,-0.05078719951768751,0.5541387756894587,-0.07125097320314382,0.40628317158797866
2017-04-24,0.0280868320610687,0.7454939370226197,-0.003420801526717557,0.9684718636271497,0.006159204219209037,0.9432658592834066
2017-04-25,-0.023991528268293795,0.788902479799452,0.06514122671853671,0.46684666875939973,-0.04296504824310929,0.6314935689507698
2017-04-26,0.11614413922221567,0.19893905892640987,0.1840561466260569,0.040724697552503984,0.032945175316876366,0.7164217912274891
2017-04-27,0.19364741161616156,0.03811438343784816,0.15916479917022797,0.08930876009021198,0.03875320579066931,0.6809285162685171
2017-04-28,0.2005289994830529,0.033201900930944404,0.138612790923932,0.1431477539970273,0.028254884534569275,0.7664105215948993
2017-05-02,0.015448725206256921,0.8681258073670819,-0.01129233713584956,0.9034025448060612,-0.026678694300576015,0.7742878094692472
2017-05-04,-0.02887714882251426,0.759335236398446,-0.034467317006413256,0.7145951870971233,-0.04168738015895711,0.6582315794114197
2017-05-05,-0.012334544327170485,0.9001349019560045,0.0007557341327536861,0.9938655223147541,-0.03855212875576823,0.6947936077263726
2017-05-08,0.029857090281413437,0.7623858358182349,0.05043088366941355,0.6094195639267393,0.0022444594766286158,0.9818707632914456
2017-05-09,0.04029299335853248,0.6731647626514575,-0.021816473402097084,0.819396806128315,0.018510648748309773,0.8463973177966426
2017-05-10,0.052075803850539594,0.5995770145088486,0.04345518317624416,0.6613800797777368,-0.0028699762081672697,0.9769328257084509
2017-05-11,0.006280085434664796,0.9510624757903666,-0.03591397986864874,0.7255269101126618,-0.06364801367454649,0.5335272754690108
2017-05-12,-0.01640011394771001,0.8739892585282664,-0.09840201850294363,0.34017141233327874,-0.04591760604879931,0.656869214197555
2017-05-15,-0.014733209922303064,0.8873104912334284,-0.08792723938757431,0.3968245019131985,-0.036786242953203104,0.7233979169476832
2017-05-16,-0.0034223834449453017,0.9746073310285863,-0.14603398891002586,0.17208365432145828,-0.047259309071372324,0.6600916669300307
2017-05-17,0.001637253821773705,0.9882795880997155,-0.18809231447372565,0.08859622769183752,-0.0011124696301191648,0.9920361462318397
2017-05-18,0.0012925991626871033,0.9905758726666749,-0.05007076144829822,0.6470747027551016,0.02453061612315345,0.8226075501032845
2017-05-19,-0.003869108870137889,0.9711287621786822,0.03500164639118855,0.7432795065022055,0.13538030963064132,0.20328658453215162
2017-05-22,-0.05918596186526859,0.5751919086303638,0.005571781972524372,0.957961097333597,0.11105845005734187,0.29191265547259665
