,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-04-05,0.08757772221382454,0.1179320478811686,0.004926546318805894,0.9300480376634233,-0.03593481808541603,0.5218391875588883
2017-04-06,0.08900175630554184,0.11726605526863682,-0.03563817851230004,0.5312137311465313,-0.09353405302864545,0.09966905252899258
2017-04-07,-0.047217562569215527,0.40063316852425246,-0.04076589290435903,0.46811739995428925,-0.07336709620387445,0.1912139759215381
2017-04-10,0.010367067696648791,0.8541262906447457,-0.02075736367695474,0.7127583623620779,-0.04846330566458911,0.3898103220157838
2017-04-11,0.0008923599968053194,0.9872738357798305,-0.052192884395879116,0.3505298653402592,-0.029612249855807543,0.5965124152217909
2017-04-12,-0.06945230513349517,0.2146112589490534,-0.029284271130718832,0.6011578468346406,-0.016728982969349545,0.7652635660516874
2017-04-13,-0.13141313819651548,0.01924963566615833,-0.030727701015983044,0.5857131691337081,-0.041405763956429226,0.4625761284266291
2017-04-18,-0.07368565310052283,0.19282183739336067,-0.00029188988038388063,0.9958895772225049,-0.012193864541519417,0.829594178335396
2017-04-19,-0.12248822131840699,0.03135550430259523,-0.08341782770573537,0.1434784427705674,-0.09068506627025459,0.11162826880165015
2017-04-20,-0.13466217752665868,0.01824496563711551,-0.09879118303964897,0.08396492751109759,-0.02656166646657014,0.6429477578451299
2017-04-21,-0.030103923934262082,0.5957083555297014,-0.05930346199515503,0.2956033412639394,-0.06916335162594424,0.2223926433337342
2017-04-24,0.04786086473075121,0.39724357456650106,0.006442602574604573,0.9093238399910616,-0.005061510426802619,0.9287033567808483
2017-04-25,0.08189116951414559,0.14196134425738186,0.009883008980485072,0.8595593410866125,-0.014792441627338136,0.7911353839305098
2017-04-26,0.013591582612494537,0.8068659958006985,0.0220913421261769,0.6910828701473456,0.030271442142436236,0.5860351827842225
2017-04-27,-0.0193003246234465,0.7252607684735839,0.00037328878777043064,0.9945771986941718,0.029077042248975095,0.5964433159882268
2017-04-28,-0.0017577609712333992,0.9744305180725723,-0.022360216529028476,0.683434878895991,0.044666393763319635,0.4151408411181977
2017-05-02,-0.05893595799130704,0.28501604509851725,-0.042941657767159455,0.436180772162699,0.0007152679344016016,0.9896565684014218
2017-05-04,-0.10158648419993314,0.06288750255420973,-0.13611403090678745,0.01251265999898202,-0.06017201904382931,0.27139407224390916
