,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-03-23,0.059276533534085844,0.2109937147329428,0.06463700699089696,0.17251085060507088,0.1923599912315684,4.2426120040936206e-05
2017-03-24,0.08624994220781639,0.06848248103541855,0.10583259560551696,0.025248819504697734,0.20216486886007182,1.6561244893265388e-05
2017-03-27,0.11514608423394967,0.014748764572052799,0.09567967832457917,0.042955222824587046,0.18413491419526531,8.851872944301251e-05
2017-03-28,-0.018618643172941672,0.6939824655329969,0.06666902872770206,0.1584443518856859,0.1395654467450292,0.003040510406550509
2017-03-29,0.06204377319956907,0.18992079692705827,0.1008409305622733,0.03285267319840425,0.09200001601551012,0.05165933878151361
2017-04-05,0.08185798505199791,0.08526306598130243,0.07975795295383067,0.09361296510550032,0.13704177825631245,0.0038537372632979896
2017-04-06,0.08634836641732675,0.06878981896219605,0.06997549716963156,0.14053815066195696,0.060172619486890254,0.20518359631939745
2017-04-07,0.03552058912554099,0.45429122400172617,0.009031871335530904,0.8491445047772743,0.04007081847594397,0.3985529861392071
2017-04-10,0.05920686150948738,0.21204617617508933,0.04020403282079713,0.3969855504214497,0.08555915445446176,0.07105282388878045
2017-04-11,0.023409183590181754,0.6208000420695288,0.009495981767937981,0.8409645383574597,0.08898648685154856,0.05955512230376539
2017-04-12,0.09999306969577475,0.033956243829544305,0.04998583336826485,0.2900226358430603,0.1420829252238721,0.0025194870159052094
2017-04-13,0.07260654695851922,0.12447838520310843,0.09670562850908705,0.040535877337603665,0.0909635409278664,0.05409130549487297
2017-04-18,0.06643089706039916,0.15993973105002834,0.14614336580394705,0.0019042342736469782,0.08738299660284284,0.06431482452480254
2017-04-19,-0.005591600492722091,0.9060501076152915,0.02241339548264247,0.6361159864718258,0.02565773888765644,0.5880638221252624
2017-04-20,0.004664988867757428,0.9216517454404748,0.032199642964791594,0.4971081992478428,0.020577086702134897,0.664378293933487
2017-04-21,0.12067822299837004,0.010838361735846553,0.1527454861121219,0.001228873034556596,0.03667547312245054,0.44026039075392576
2017-04-24,0.08416316197385783,0.07613296186195527,0.1350815083679097,0.004308734814550901,0.10947308782719016,0.020899894101907793
2017-04-25,0.13663733000709838,0.003919721357425636,0.15208409780525683,0.0013076575545468774,0.11198757113393512,0.018250214801756776
2017-04-26,0.1381541275351406,0.003649667717513516,0.182147857926996,0.00011983003814003145,0.15775339743911362,0.0008865443169377003
2017-04-27,0.1836953591189831,0.00010457779369848545,0.15729057302318408,0.0009184632586598926,0.17392270379576005,0.00024253279276058195
2017-04-28,0.2218123347714259,2.6247596768639974e-06,0.15084798393375537,0.0015066974614279032,0.11828148984616839,0.013037006443049446
2017-05-02,0.19054818252820224,5.5374683990212805e-05,0.12042640972249628,0.011280779501683288,0.15381216523071745,0.001179124232233269
2017-05-04,0.10042890769500767,0.0339773458290206,0.09097182339283248,0.054883341602149756,0.10429209420620937,0.0276411145795501
2017-05-05,0.08032999163522322,0.08981893876664473,0.07947276886152425,0.09330932082997939,0.026661657802257724,0.57397134371628
2017-05-08,-0.06846452270052594,0.1488742773855751,-0.018035562326517533,0.7040568713686874,0.044414070392542235,0.34937741908974684
2017-05-09,-0.07667599541392697,0.10624331035180948,-0.04674448858336949,0.3251939516781961,0.02650997782222044,0.5770125647746165
2017-05-10,-0.1114798348695514,0.018921701381327635,-0.027475454159487735,0.5640972456066446,0.00966732026003966,0.8392105267831105
2017-05-11,-0.010625661088442517,0.8239154429063456,0.07931577687417345,0.09620727309864283,0.10494213075001851,0.027551233340354423
2017-05-12,0.11411257348829852,0.01676026128953317,0.16339182423972418,0.0005886260154554607,0.14735517346363247,0.0019645100575855696
2017-05-15,0.09080657848956272,0.05671975633507381,0.17143183348820987,0.00029842911407249967,0.09163516045901941,0.05448957420436381
2017-05-16,0.09719251872714914,0.04111117108196134,0.153411194803741,0.0012150463934369827,0.07006124417087388,0.14140207231531982
2017-05-17,0.12031105137206456,0.011266841215308255,0.1106866005149878,0.01979211553545192,0.019151692139073098,0.6876880917175234
2017-05-18,0.16630349413985865,0.0004333597297916941,0.19458345354375173,3.657845048079458e-05,0.06311023041670177,0.18437974974378027
2017-05-19,0.05827908715691229,0.2213985984620373,0.0922438349596944,0.05262841078415986,0.03309422372271601,0.4876909295717452
2017-05-22,0.1809235696712662,0.00013101821007503454,0.08851070820096994,0.06299708535189914,0.06963567276558237,0.1438411876389533
2017-05-23,0.10153799289460526,0.03282742550776542,0.07873526126037222,0.09829140279433812,0.06846433846781542,0.15072058279289105
2017-05-24,0.05105466837189469,0.2830664903997782,0.013616171430950716,0.7747900372648667,0.0017412966017227886,0.9708135181510555
2017-05-31,-0.06482377662360937,0.17716468101161606,-0.10454208686498696,0.029249965425084172,-0.07269575767290413,0.13006868292556983
2017-06-01,-0.08103366995802255,0.0925415886163195,-0.020855630290623775,0.6655472158215413,-0.0016188346861111932,0.9732364872968986
2017-06-02,-0.03211693157140975,0.5030875485989306,-0.022150929248138124,0.6442351605439194,0.05269021867865226,0.27173585954262575
2017-06-05,-0.07815655818615325,0.10235949578874848,-0.03891433228710352,0.416563817858531,0.00304779877173361,0.9492858857376398
2017-06-06,0.022591132971982862,0.636892876498744,0.026958952480366255,0.5732001717290516,-0.0027601516509016626,0.9540140198225067
2017-06-07,0.04471812874498695,0.350472171441362,0.06269521227378944,0.1903133425176959,0.00785867172474453,0.8697292920060146
2017-06-08,0.017404239469809648,0.7161214965185941,-0.026802118454929833,0.5754342335259564,0.016231646388013245,0.7345016560342141
2017-06-09,-0.01574293393509008,0.7424927913411352,-0.007239962720560886,0.8799045770171596,0.018348350023053444,0.7017661671132827
2017-06-12,-0.044235585595214545,0.35404881989114745,-0.033752048182274993,0.4795771730017231,-0.02313773685850258,0.6279755057008488
2017-06-13,-0.05646174228592602,0.2372352684288254,0.014835412840016127,0.7563160246123224,0.037369661712750676,0.4342639663882589
2017-06-14,0.04828457871177691,0.31168702004835047,0.07113849684920526,0.13581487329276354,0.012536767342170482,0.7929088349910092
2017-06-15,-0.061637567571810374,0.19740008224682248,-0.04135045365173484,0.3874298367852336,-0.030760448863714422,0.5203424912687358
2017-06-16,0.0032976384485131583,0.944883956909632,0.0051033390459815555,0.9147981554443385,-0.0003071905234400567,0.9948616407604065
2017-06-19,-0.015308017806326976,0.7477030761905044,0.012344416320460844,0.7953346333962312,0.010953540338270134,0.8179661308466648
2017-06-20,-0.05513894102028657,0.24680578397080793,-0.01206607759834534,0.8000725224445189,-0.016600764953785763,0.7275078857968422
2017-06-21,0.018617406239000336,0.6959614638529082,0.025183839428864974,0.5970519060381031,-0.009900611883307736,0.8353850451704925
