,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-05-04,0.035487480884922144,0.44767909770117775,0.021185789873274852,0.6504053424628211,0.07381130502760273,0.1138949611438141
2017-05-05,0.061272490323696936,0.1895856701152727,0.032422987599684046,0.4878791593505314,0.04740289153670052,0.31035235839329883
2017-05-08,0.07431924113529478,0.11142171751267875,0.015930737507009407,0.733278054587466,0.03849231760567825,0.4101513549696415
2017-05-09,0.05033439601776194,0.2818734836425733,0.025060725210442985,0.5922846376602122,0.05479964585039525,0.24130846653102944
2017-05-10,0.016031007853361017,0.7322282199068338,0.012418417829068946,0.7909711657778571,0.052477935464881456,0.26238141708773677
2017-05-11,-0.019647282687924802,0.6749518269010896,-0.01998945372665007,0.6696221818299662,0.046281010423235326,0.3230155880818185
2017-05-12,0.006840858398106192,0.8840460802707849,-0.00405700305908625,0.9310755910766275,0.04320302595173624,0.35680189878239643
2017-05-15,-0.05995365559323041,0.20128624936816658,0.02162328812940308,0.6451332778400376,0.05013888093281997,0.2853369940446514
2017-05-16,0.03825948376543811,0.41504080416546096,0.06639081740658247,0.15695398493499862,0.09121821981394239,0.05158250368938079
2017-05-17,0.005826490695739993,0.9014693185065853,0.07308843914419978,0.11992159804205738,0.10347406319710967,0.02748266390393562
2017-05-18,0.008099027112423562,0.8633626148931308,0.05997240639255362,0.20214147964551865,0.0756498502153919,0.10745114386276917
2017-05-19,0.008133622870601202,0.8627847122630852,0.02355817839124738,0.6166200812746947,0.10348358614187685,0.027468339870830187
2017-05-22,0.10068732729954386,0.0319599075993105,0.05890566794238806,0.21029771490593835,0.13218152032852765,0.004786647719690228
2017-05-23,0.10956587761505902,0.019535656331151233,0.1050020563559998,0.0252649151491198,0.14602636017162296,0.0018110640761586946
2017-05-24,0.12310035045563301,0.008647210233888428,0.11196670113724622,0.017003250835852166,0.13684999576464163,0.0034821719832859627
2017-05-31,0.09115678796328817,0.05278358028790616,0.1230344155567746,0.008832772908461156,0.1411929322694475,0.0026247502992387283
2017-06-01,0.08220753597734164,0.08083307483055006,0.14061068035406207,0.002735066421720083,0.13491307614992296,0.0040595485723832845
2017-06-02,0.0775585330614816,0.09959247175323843,0.15089744154549456,0.001292303155883092,0.12844915567059995,0.006244826548115706
2017-06-05,0.10708856626607852,0.022787353718080144,0.11819085565857065,0.011915613892265246,0.15242735506708133,0.0011512473348655652
2017-06-06,0.08507449545867236,0.0707658095068275,0.08378770256448502,0.07514985082607877,0.12088069743531586,0.01010307422928692
2017-06-07,0.01998956088949833,0.6723642271943019,0.054755037060499015,0.24638734981891613,0.08899760084484637,0.059238648476719065
2017-06-08,0.09142925873869899,0.0526019769225693,0.05260349051487304,0.26546971600399494,0.0889703490033426,0.05931677999644928
