,corr_5,p_5,corr_10,p_10,corr_30,p_30
2017-03-23,0.09232183703399369,0.389519105323879,0.007865871592384523,0.941679927657685,0.21551845215743443,0.04252373933755188
2017-03-24,0.12973525202367064,0.22560937216026486,0.05286028626318843,0.6227352699791036,0.26950692691936,0.010648540269542876
2017-03-27,0.012819967145566132,0.9050864160787386,-0.0006724691962838822,0.9950097608871091,0.17083271266102826,0.10945670900971859
2017-03-28,0.13220910341154557,0.21680967486199398,0.16488044066565102,0.12256935792473211,0.12969788806762658,0.2257441717808171
2017-03-29,0.07818299469896645,0.4664508217406794,0.16307803623299513,0.12676896097829188,0.012632206168168115,0.9064701976074472
2017-04-05,0.019033431935326084,0.8594780076137435,-0.047200527764482615,0.6604883762915161,0.18390755678118068,0.0844911447469847
2017-04-06,0.015040986048570383,0.8887403085531771,-0.03722351559241916,0.7291009413704908,0.05709081158892186,0.5951322527120382
2017-04-07,-0.1466900467317563,0.17014409100505176,-0.10085163794625707,0.34702119038436186,0.04417792040353429,0.6810118755454584
2017-04-10,0.1263709838749268,0.23797400592105802,-0.03744483080060642,0.7275531295613994,0.13412552828487279,0.210161653413675
2017-04-11,0.08687584059550739,0.4182097279308793,-0.05845598564980254,0.5863434889755396,0.16186860520910917,0.12964805361057413
2017-04-12,0.10343289747875224,0.3292294589049445,-0.04783500229283537,0.652518163065382,0.09039799966108483,0.39412105534060127
2017-04-13,-0.14470856122564554,0.17605164202625087,0.04785658347236883,0.6560660589707873,0.04138647236678002,0.7001745915815583
2017-04-18,0.05669243082723875,0.5977080542230414,0.2279653370437809,0.031666509470502445,0.1739419116402097,0.10305494726561994
2017-04-19,0.09752671838029972,0.3632294553808534,0.21396710829932028,0.044071710083058414,0.11578535196878399,0.2799132715446789
2017-04-20,0.10394773247155899,0.3323419892361592,0.22794152076834662,0.03168480752268909,0.0784150156590488,0.4651250385621297
2017-04-21,0.05995369193506191,0.5767701206894236,0.12333939199189028,0.24951198821520976,0.054803382921876746,0.6099891892647968
2017-04-24,0.13679564516224904,0.20114272865981053,0.16032909424264144,0.13338475517097825,0.054258583837223116,0.6135514049583621
2017-04-25,0.1589941776263011,0.13669067345400446,0.2652286425998656,0.012006551875224598,0.09867547419659932,0.35757765394088825
