,date,n,strategy,M,net_ret,net_long,net_short,no_long,no_short,remove_long,remove_short,mktcap_long,mktcap_short
0,2017-03-27,5,delta,1.0,0.0,-1.0,-1.0,21,20,0,0,1.0343437770472914,0.21267120389015642
1,2017-03-27,5,neu,1.0,0.0,-1.0,-1.0,21,20,0,0,0.6681378679510808,0.46030637184030077
2,2017-03-27,5,absneu,1.0,0.0,-1.0,-1.0,21,20,0,0,0.6681378679510808,0.7956088469594101
3,2017-04-11,5,delta,1.0000582899592105,5.828995921053348e-05,0.024399081293872138,0.024340791334661604,21,20,15,17,1.1344206369078706,0.25268576558743183
4,2017-04-11,5,neu,0.9824037273762092,-0.01759627262379082,0.004699595902105669,0.02229586852589649,21,20,16,17,0.9954670398190579,0.2937785135263626
5,2017-04-11,5,absneu,0.9799590032726235,-0.02004099672737647,0.004699595902105669,0.02474059262948214,21,20,16,19,1.5224794007166491,0.9054878526146396
6,2017-04-27,5,delta,1.0087195963787685,0.008660801581787047,-0.013532226474129105,-0.022193028055916164,21,20,15,16,1.8509372256506542,0.9607020207681145
7,2017-04-27,5,neu,0.9898384037691247,0.007567842207573806,-0.011033621157570672,-0.018601463365144455,21,20,16,17,1.214665170977013,1.2036118555090212
8,2017-04-27,5,absneu,0.9855212823666762,0.005676032441640106,-0.012647318797928242,-0.018323351239568297,21,20,18,16,1.8495226867182675,0.8432832608577011
9,2017-05-15,5,delta,1.048024582073899,0.03896522466325876,0.04384501057114121,0.004879785907882628,21,20,13,13,1.179457823312894,0.6131017987223224
10,2017-05-15,5,neu,1.0197442525374028,0.030212859649011423,0.03230624136295934,0.002093381713947906,21,20,13,13,0.9547506665040474,0.9394709572061245
11,2017-05-15,5,absneu,0.9976076630466583,0.012263946904279156,0.034801312520192695,0.022537365615913574,21,20,11,15,1.7412913860256285,1.2169828446876603
12,2017-05-29,5,delta,1.0942484562251409,0.044105715592826236,0.06805134384177736,0.023945628248950968,21,20,9,14,1.5531737307517137,0.6534300706293131
13,2017-05-29,5,neu,1.0593502471969156,0.03883914477670486,0.060238978980750035,0.021399834204045343,21,20,9,13,1.4482705906387316,1.65724226294216
14,2017-05-29,5,absneu,1.0084133747846487,0.010831624633866823,0.028787458973962066,0.017955834340095178,21,20,9,16,2.2184504983557023,0.9406209565202224
15,2017-06-13,5,delta,1.1146987604184797,0.018688903856338805,0.03508967755724646,0.016400773700907534,21,20,11,14,0.9061752288704291,1.3759498500710974
