,date,lag,n,strategy,M,net_ret,net_long,net_short,no_long,no_short,remove_long,remove_short,mktcap_long,mktcap_short
0,2017-04-03,1,10,delta,1.0,0.0,-1.0,-1.0,20,19,0,0,0.7305815427935075,0.8750483760044022
1,2017-04-03,1,10,neu,1.0,0.0,-1.0,-1.0,20,19,0,0,0.7079911352833322,0.8750483760044022
2,2017-04-03,1,10,absneu,1.0,0.0,-1.0,-1.0,20,19,0,0,0.32848366255595834,0.5563532179839198
3,2017-04-20,1,10,delta,1.0005411666754038,0.0005411666754037148,-0.014777186752987892,-0.015318353428391607,20,19,13,16,1.004470887209783,0.8637924333241159
4,2017-04-20,1,10,neu,0.9951625969542882,-0.004837403045711786,-0.020155756474103392,-0.015318353428391607,20,19,13,16,0.952413882921676,1.1321453685065377
5,2017-04-20,1,10,absneu,1.0152892015097508,0.01528920150975066,-0.009572527888446092,-0.024861729398196752,20,19,14,17,1.279483270989629,0.8109226790566963
6,2017-05-08,1,10,delta,1.0274044072962232,0.026848710993152197,0.007291548425687688,-0.019557162567464426,19,18,12,14,1.478488816890185,0.8807344376067912
7,2017-05-08,1,10,neu,1.0370273157738987,0.04206821975397596,0.009526141606908345,-0.032542078147067555,19,18,11,13,1.478488816890185,1.1796491633008943
8,2017-05-08,1,10,absneu,1.0511353591799626,0.03530635174382643,0.01576043473409494,-0.019545917009731628,19,18,15,16,1.1037721366948496,0.5238407277604673
9,2017-05-22,1,10,delta,1.0153997951711156,-0.011684407853281112,0.025705184565200545,0.0373895924184815,19,18,5,12,1.7662109024075203,0.4433165391386214
10,2017-05-22,1,10,neu,1.012674125832758,-0.02348365329505973,0.025897524587829457,0.049381177882889205,19,18,5,10,1.7662109024075203,1.2005307583339195
11,2017-05-22,1,10,absneu,1.040670691662623,-0.009955585097530736,0.022558678360397044,0.03251426345792763,19,18,9,13,1.8389313304951123,0.6424081195130232
12,2017-06-06,1,10,delta,1.019094330025595,0.003638502658804313,0.02580123895386577,0.02216273629506138,19,18,7,13,1.5436492121756895,0.5491022507361124
13,2017-06-06,1,10,neu,1.0009481478446676,-0.011579221478032538,0.02608890320663204,0.03766812468466463,19,18,7,9,1.510429479260393,1.1833875415069413
14,2017-06-06,1,10,absneu,1.0271775353352288,-0.012965827168474242,0.013228550961798646,0.02619437813027292,19,18,6,15,1.8398754824480736,1.0402554668352328
15,2017-06-20,1,10,delta,1.0338953189640325,0.01452366920544615,0.007912440277759725,-0.006611228927686397,19,18,11,9,0.9467111046547005,1.641716342848694
16,2017-06-20,1,10,neu,1.0297697366897713,0.02879428760337401,0.009002170703931611,-0.01979211689944238,19,18,11,10,0.9467111046547005,1.5304484886290761
17,2017-06-20,1,10,absneu,1.038839088270296,0.011353006207696466,0.004064133753613808,-0.007288872454082607,19,18,11,15,1.8358751336812775,1.414002409148412
18,2017-07-04,1,10,delta,1.0273376540616341,-0.0063426778147803245,-0.0014720656322980696,0.004870612182482192,19,18,9,10,1.2611764420250582,1.7818700961128993
19,2017-07-04,1,10,neu,1.0272507883755888,-0.002446127735584633,-0.0016296854920430093,0.0008164422435417151,19,18,9,10,1.2611764420250582,1.7818700961128993
20,2017-07-04,1,10,absneu,1.0599361532652751,0.020308308796992285,0.0011783649461867274,-0.019129943850805464,19,18,11,12,1.1686860811654773,1.5312515169902272
21,2017-07-18,1,10,delta,1.0604329419339509,0.032214615848521436,0.07011595235718682,0.03790133650866534,19,18,10,13,1.2290685738657388,0.3394261221741669
22,2017-07-18,1,10,neu,1.060343159709937,0.03221450079067632,0.07011213032696828,0.037897629536292055,19,18,10,12,1.1702150397615187,0.9081885610138462
23,2017-07-18,1,10,absneu,1.0775895722733557,0.016655172062672714,0.05710837210635833,0.04045320004368547,19,18,12,14,1.6513113360592164,1.573423910113474
24,2017-08-01,1,10,delta,1.1087481739367855,0.04556179848083588,0.04172630120375631,-0.003835497277079658,19,18,10,10,1.1186699583280675,1.2785104880254303
